unique_id,status,thread_id,execution_time,adapter_response,relation_name,start_time,end_time,model_id,thread,execution_time_sec
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 17:42:32.215000+00:00,2024-11-08 17:42:32.595984+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3859694004058838
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 19:52:36.384801+00:00,2024-11-08 19:52:37.278408+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8956010341644287
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-08 19:52:37.285407+00:00,2024-11-08 19:52:37.617075+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3347084522247314
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-08 19:52:37.625169+00:00,2024-11-08 19:52:37.970148+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3479542732238769
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 19:52:37.978072+00:00,2024-11-08 19:52:38.301600+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.326528787612915
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 20:05:49.388380+00:00,2024-11-08 20:05:50.284690+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8972651958465576
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-08 20:05:50.290943+00:00,2024-11-08 20:05:50.628936+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.339996337890625
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-08 20:05:50.634938+00:00,2024-11-08 20:05:51.006104+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3731660842895508
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 20:05:51.012103+00:00,2024-11-08 20:05:51.347366+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3372573852539062
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 20:15:07.370062+00:00,2024-11-08 20:15:08.251491+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8845357894897461
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-08 20:15:08.258649+00:00,2024-11-08 20:15:08.598858+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.343214750289917
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-08 20:15:08.606981+00:00,2024-11-08 20:15:08.933942+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3299696445465088
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 20:15:08.940940+00:00,2024-11-08 20:15:09.283086+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3451449871063232
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-11 18:45:23.904143+00:00,2024-11-11 18:45:25.352840+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.4526896476745603
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-11 18:45:25.385534+00:00,2024-11-11 18:45:25.951904+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.5726029872894287
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-11 18:45:25.960161+00:00,2024-11-11 18:45:26.318714+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3610584735870361
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-11 18:45:26.324236+00:00,2024-11-11 18:45:26.847627+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.5363800525665283
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-11 19:58:25.671642+00:00,2024-11-11 19:58:26.571656+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.9010984897613524
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-11 19:58:26.583936+00:00,2024-11-11 19:58:26.929668+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3487765789031982
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-11 19:58:26.937346+00:00,2024-11-11 19:58:27.268395+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3356630802154541
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-11 19:58:27.275292+00:00,2024-11-11 19:58:27.607912+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3346171379089355
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-11 21:20:41.090301+00:00,2024-11-11 21:20:41.969695+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8803350925445557
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-11 21:20:41.974586+00:00,2024-11-11 21:20:42.338213+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3666169643402099
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-11 21:20:42.343197+00:00,2024-11-11 21:20:42.755067+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.4148595333099365
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-11 21:20:42.763038+00:00,2024-11-11 21:20:43.085779+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3227412700653076
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-11 22:20:07.536479+00:00,2024-11-11 22:20:08.416410+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8799316883087158
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-11 22:20:08.421137+00:00,2024-11-11 22:20:08.753721+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3346548080444336
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-11 22:20:08.760767+00:00,2024-11-11 22:20:09.088096+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3293192386627197
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-11 22:20:09.092584+00:00,2024-11-11 22:20:09.428672+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3380806446075439
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-11 22:56:22.467665+00:00,2024-11-11 22:56:23.370631+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.9055359363555908
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-11 22:56:23.375607+00:00,2024-11-11 22:56:23.715128+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3405325412750244
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-11 22:56:23.720692+00:00,2024-11-11 22:56:24.051137+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3324387073516845
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-11 22:56:24.057733+00:00,2024-11-11 22:56:24.377314+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3237147331237793
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-11 23:05:41.314642+00:00,2024-11-11 23:05:42.170814+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.857154369354248
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-11 23:05:42.174728+00:00,2024-11-11 23:05:42.514861+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3421258926391601
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-11 23:05:42.523912+00:00,2024-11-11 23:05:42.857562+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3366456031799316
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-11 23:05:42.863490+00:00,2024-11-11 23:05:43.182220+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3217475414276123
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 18:08:57.185682+00:00,2024-11-12 18:08:59.161069+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.9773790836334229
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 18:08:59.167889+00:00,2024-11-12 18:08:59.992927+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.8260278701782227
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 18:09:00.000816+00:00,2024-11-12 18:09:00.505399+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.5074970722198486
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 18:09:00.514576+00:00,2024-11-12 18:09:01.032860+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.5222671031951904
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 20:24:46.610387+00:00,2024-11-12 20:24:47.525058+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.917670726776123
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 20:24:47.531153+00:00,2024-11-12 20:24:47.885373+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3577034473419189
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 20:24:47.894142+00:00,2024-11-12 20:24:48.244408+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.353511095046997
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 20:24:48.251734+00:00,2024-11-12 20:24:48.596533+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3477883338928222
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 20:42:32.012664+00:00,2024-11-12 20:42:32.917289+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.9066143035888672
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 20:42:32.923270+00:00,2024-11-12 20:42:33.264209+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3429348468780517
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 20:42:33.273322+00:00,2024-11-12 20:42:33.636577+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3662934303283691
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 20:42:33.643483+00:00,2024-11-12 20:42:33.984869+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3443684577941894
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 22:38:27.608835+00:00,2024-11-12 22:38:28.505550+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8977165222167969
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 22:38:28.509539+00:00,2024-11-12 22:38:28.853209+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3456079959869385
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 22:38:28.860174+00:00,2024-11-12 22:38:29.212442+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3551902770996094
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 22:38:29.219410+00:00,2024-11-12 22:38:29.550392+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3329682350158691
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 22:47:44.442505+00:00,2024-11-12 22:47:45.541464+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.100950002670288
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 22:47:45.546992+00:00,2024-11-12 22:47:46.043984+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4989850521087646
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 22:47:46.050968+00:00,2024-11-12 22:47:46.486312+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.4373459815979004
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 22:47:46.490726+00:00,2024-11-12 22:47:46.913984+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.4252510070800781
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 13:34:40.741990+00:00,2024-11-13 13:34:42.046039+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.3071627616882324
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 13:34:42.053015+00:00,2024-11-13 13:34:42.492927+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4418983459472656
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 13:34:42.497905+00:00,2024-11-13 13:34:42.890965+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3950951099395752
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 13:34:42.895947+00:00,2024-11-13 13:34:43.294553+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.400601863861084
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 14:58:34.294117+00:00,2024-11-13 14:58:35.377229+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.085055589675903
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 14:58:35.384127+00:00,2024-11-13 14:58:35.806062+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4253966808319092
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 14:58:35.813744+00:00,2024-11-13 14:58:36.192391+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3806393146514892
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 14:58:36.199285+00:00,2024-11-13 14:58:36.570776+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3734791278839111
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 15:07:53.277748+00:00,2024-11-13 15:07:54.398404+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.123652696609497
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 15:07:54.405338+00:00,2024-11-13 15:07:54.808555+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4062066078186035
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 15:07:54.817875+00:00,2024-11-13 15:07:55.206536+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3906610012054443
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 15:07:55.212514+00:00,2024-11-13 15:07:56.001845+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.7913274765014648
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 17:39:26.480144+00:00,2024-11-13 17:39:27.381323+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.9032564163208008
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 17:39:27.390328+00:00,2024-11-13 17:39:27.744169+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3568086624145508
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 17:39:27.752144+00:00,2024-11-13 17:39:28.086320+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3392527103424072
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 17:39:28.099301+00:00,2024-11-13 17:39:28.454228+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3598103523254394
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 19:35:29.918012+00:00,2024-11-13 19:35:30.999550+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.0845167636871338
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 19:35:31.009502+00:00,2024-11-13 19:35:31.422005+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4164867401123047
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 19:35:31.427984+00:00,2024-11-13 19:35:31.878353+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.45798349380493164
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 19:35:31.896863+00:00,2024-11-13 19:35:32.550672+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.6592602729797363
